player,games,minutes,points,rebds.,assists,steals,blocks,salary,slry/pts.,slry/rbds,slry/asts,slry/stls,slry/blks
Dwight Howard,74,2146,999,939,103,64,88,23500000,23523,25026,228155,367187,267045
Tyler Johnson,73,2117,1000,292,233,84,43,5881260,5881,20141,25241,70015,136773
Jae Crowder,72,2304,1000,417,158,73,21,6796117,6796,16297,43013,93097,323624
Wesley Matthews,73,2482,985,255,211,77,14,17884175,18156,70134,84759,232262,1277441
D'Angelo Russell,63,1764,982,220,302,87,18,5562360,5664,25283,18418,63935,309020
Ryan Anderson,72,2088,979,331,64,31,14,19578454,19998,59149,305913,631563,1398461
James Johnson,76,2052,972,372,273,76,83,13954000,14355,37510,51113,183605,168120
Julius Randle,74,2072,976,636,266,49,37,4149242,4251,6523,15598,84678,112141
Jonas Valanciunas,80,2000,960,760,56,37,64,15460674,16104,20342,276083,417856,241573
Al Horford,68,2176,952,462,340,52,88,27734405,29132,60031,81571,533353,315163
Greg Monroe,81,1782,947,534,186,92,40,17884175,18885,33490,96151,194393,447104
T.J. Warren,66,2046,950,336,72,76,39,3152931,3318,9383,43790,41485,80844
Trevor Ariza,80,2720,936,456,176,147,24,7420912,7928,16273,42164,50482,309204
Sean Kilpatrick,70,1750,917,280,154,45,7,1524305,1662,5443,9898,33873,217757
Steven Adams,80,2320,904,616,88,89,80,22471910,24858,36480,255362,252493,280898
Darren Collison,68,2040,897,149,312,67,6,10000000,11148,67114,32051,149253,1666666
Seth Curry,70,2030,896,182,189,79,7,3028410,3379,16639,16023,38334,432630
Avery Bradley,55,1815,896,335,121,68,11,8808989,9831,26295,72801,129543,800817
Austin Rivers,74,1998,888,162,207,48,7,11825000,13316,72993,57125,246354,1689285
Zach LaVine,47,1739,888,159,141,41,9,3202218,3606,20139,22710,78102,355802
Marcin Gortat,82,2542,885,852,123,40,57,12782609,14443,15003,103923,319565,224256
Frank Kaminsky,75,1950,877,337,165,46,37,2847600,3246,8449,17258,61904,76962
Buddy Hield,82,1804,869,270,123,38,8,3675480,4229,13612,29881,96723,459435
Robert Covington,67,2077,864,435,100,127,67,1577230,1825,3625,15772,12419,23540
Terrence Ross,78,1950,858,202,85,87,31,10500000,12237,51980,123529,120689,338709
Gary Harris,57,1767,849,176,165,71,5,2550055,3003,14488,15454,35916,510011
Marvin Williams,76,2280,851,501,106,58,53,13168750,15474,26284,124233,227047,248466
Taj Gibson,78,1950,842,483,70,41,62,14000000,16627,28985,200000,341463,225806
Allen Crabbe,79,2212,845,229,94,54,23,19332500,22878,84421,205664,358009,840543
Mason Plumlee,81,2106,842,607,283,69,89,14041096,16675,23131,49615,203494,157765
Robin Lopez,81,2268,842,518,81,18,113,13788500,16375,26618,170228,766027,122022
Ricky Rubio,75,2400,832,307,682,128,7,14275000,17157,46498,20931,111523,2039285
Courtney Lee,77,2387,831,261,177,81,23,11747890,14137,45011,66372,145035,510777
Marcus Smart,79,2370,837,308,363,125,31,4538020,5421,14733,12501,36304,146387
George Hill,49,1519,828,166,205,50,9,20000000,24154,120481,97560,400000,2222222
Will Barton,60,1680,822,258,204,48,30,3533333,4298,13695,17320,73611,117777
Clint Capela,65,1495,819,526,65,34,78,2334528,2850,4438,35915,68662,29929
Gorgui Dieng,82,2624,820,647,155,88,98,14112360,17210,21811,91047,160367,144003
C.J. Miles,76,1748,813,228,45,46,22,7936508,9762,34809,176366,172532,360750
Thaddeus Young,74,2220,814,451,118,113,29,14796348,18177,32807,125392,130941,510218
Jamal Murray,82,1722,811,213,172,51,24,3355320,4137,15752,19507,65790,139805
Kent Bazemore,73,1898,803,233,175,91,51,16910113,21058,72575,96629,185825,331570
Pau Gasol,64,1600,793,499,147,24,70,16000000,20176,32064,108843,666666,228571
Nick Young,60,1500,792,138,60,37,12,5192000,6555,37623,86533,140324,432666
Marco Belinelli,74,1776,777,177,148,44,7,6606061,8502,37322,44635,150137,943723
Draymond Green,77,2464,777,608,539,157,107,16400000,21106,26973,30426,104458,153271
Maurice Harkless,77,2156,770,338,84,85,69,10162921,13198,30067,120987,119563,147288
Shabazz Muhammad,78,1482,772,218,31,22,7,1577230,2043,7235,50878,71692,225318
Dirk Nowitzki,54,1404,766,351,81,30,37,5000000,6527,14245,61728,166666,135135
Jon Leuer,75,1875,765,405,112,31,22,10497319,13721,25919,93726,338623,477150
Malcolm Brogdon,75,1950,765,210,315,84,15,1312611,1715,6250,4167,15626,87507
Nik Stauskas,80,2160,760,224,192,45,32,3807147,5009,16996,19828,84603,118973
Marquese Chriss,82,1722,754,344,57,67,73,3073800,4076,8935,53926,45877,42106
Reggie Jackson,52,1404,754,114,270,35,5,16000000,21220,140350,59259,457142,3200000
Rodney Hood,59,1534,749,200,94,38,11,2386864,3186,11934,25392,62812,216987
Nikola Mirotic,70,1680,742,385,77,53,56,12500000,16846,32467,162337,235849,223214
Michael Kidd-Gilchrist,81,2349,745,567,113,81,81,13000000,17449,22927,115044,160493,160493
Cory Joseph,80,2000,744,232,264,66,16,7630000,10255,32887,28901,115606,476875
Brandon Ingram,79,2212,742,316,165,50,39,5519400,7438,17466,33450,110388,141523
Dion Waiters,46,1380,726,151,197,42,18,11000000,15151,72847,55837,261904,611111
Joe Johnson,78,1794,717,241,140,36,15,10505000,14651,43589,75035,291805,700333
Marreese Speights,82,1230,713,369,65,23,41,1471382,2063,3987,22636,63973,35887
Trevor Booker,71,1704,710,568,134,75,28,9125000,12852,16065,68097,121666,325892
E'Twaun Moore,24,230,50,52,1200,0,26,8445024,168900,162404,7037,N/A,324808
JaMychal Green,27,240,191,29,1269,0,18,8533333,44677,294252,6724,N/A,474074
Jameer Nelson,27,248,70,137,1458,0,37,1429818,20425,10436,980,N/A,38643
Tony Snell,29,246,89,34,1595,0,52,9821429,110353,288865,6157,N/A,188873
Kyle Korver,10,28,16,340,3,2,464,7000000,437500,20588,2333333,3500000,15086
Kelly Olynyk,9,43,18,387,3,0,460,10607169,589287,27408,3535723,N/A,23059
Channing Frye,9,35,5,297,4,1,412,7420912,1484182,24986,1855228,7420912,18011
Rondae Hollis-Jefferson,8,46,16,656,4,0,347,1471382,91961,2242,367845,N/A,4240
Jusuf Nurkic,10,72,19,500,11,0,507,2947305,155121,5894,267936,N/A,5813
Wayne Ellington,2,2,70,0,4,41,172,6270000,89571,N/A,1567500,152926,36453
Tony Allen,5,7,575,2,1,46,307,1471382,2558,735691,1471382,31986,4792
Cody Zeller,6,9,372,5,0,57,407,12584270,33828,2516854,N/A,220776,30919
