player,games,minutes,points,rebds.,assists,steals,blocks,salary,slry/pts.,slry/rbds,slry/asts,slry/stls,slry/blks
Essence Carson,24,465,115,40,28,0,7,105000,913,2625,3750,N/A,15000
Natasha Cloud,24,448,105,60,69,0,2,105000,1000,1750,1521,N/A,52500
Ramu Tokashiki,33,412,105,52,19,0,9,105000,1000,2019,5526,N/A,11666
Imani Boyette,22,341,101,96,11,0,17,105000,1039,1093,9545,N/A,6176
Rachel Banham,30,285,99,33,21,0,0,105000,1060,3181,5000,N/A,NA
Jeanette Pohlen-Mavunga,29,374,98,29,20,0,0,105000,1071,3620,5250,N/A,NA
Erica McCall,30,321,99,69,6,0,9,105000,1060,1521,17500,N/A,11666
Erika de Souza,27,337,97,70,18,0,10,105000,1082,1500,5833,N/A,10500
Rebecca Allen,33,303,92,66,16,0,13,105000,1141,1590,6562,N/A,8076
Saniya Chong,33,363,89,29,33,0,3,105000,1179,3620,3181,N/A,35000
Sequoia Holmes,27,305,89,24,24,0,8,105000,1179,4375,4375,N/A,13125
Cheyenne Parker,23,285,87,78,13,0,16,105000,1206,1346,8076,N/A,6562
Noelle Quinn,32,505,86,51,89,0,6,105000,1220,2058,1179,N/A,17500
Courtney Paris,20,274,84,74,14,0,12,105000,1250,1418,7500,N/A,8750
Kaleena Mosqueda-Lewis,18,199,82,21,9,0,1,105000,1280,5000,11666,N/A,105000
Sydney Colson,28,324,81,14,56,0,2,105000,1296,7500,1875,N/A,52500
Carolyn Swords,30,261,78,45,9,0,6,105000,1346,2333,11666,N/A,17500
Matee Ajavon,31,251,74,37,27,0,0,105000,1418,2837,3888,N/A,NA
Alexis Jones,29,211,75,23,23,0,0,105000,1400,4565,4565,N/A,NA
Keisha Hampton,19,148,68,11,5,0,3,105000,1544,9545,21000,N/A,35000
Brionna Jones,23,149,66,36,2,0,2,105000,1590,2916,52500,N/A,52500
Sydney Wiese,28,226,64,22,8,0,2,105000,1640,4772,13125,N/A,52500
Amanda Zahui B.,29,153,63,31,8,0,5,105000,1666,3387,13125,N/A,21000
Jordan Hooper,10,186,60,22,6,0,1,105000,1750,4772,17500,N/A,105000
Angel Robinson,15,237,58,58,7,0,10,105000,1810,1810,15000,N/A,10500
Lindsay Allen,28,375,53,42,61,0,0,105000,1981,2500,1721,N/A,NA
Allison Hightower,11,145,51,14,12,0,0,105000,2058,7500,8750,N/A,NA
Danielle Adams,19,83,49,11,3,0,3,105000,2142,9545,35000,N/A,35000
Nia Coffey,27,210,48,51,5,0,5,105000,2187,2058,21000,N/A,21000
Jordan Hooper,15,100,46,13,3,0,0,105000,2282,8076,35000,N/A,NA
Tamera Young,11,167,47,25,7,0,5,105000,2234,4200,15000,N/A,21000
Asia Taylor,24,160,45,43,9,0,2,105000,2333,2441,11666,N/A,52500
Amber Harris,27,159,43,43,5,0,8,105000,2441,2441,21000,N/A,13125
